,Team,W rate,K rate,BABIP,wOBA,Year
0,SFG,0.11,0.161,0.303,0.359,2000
1,CLE,0.105,0.162,0.318,0.364,2000
2,OAK,0.11699999999999999,0.18,0.3,0.356,2000
3,SEA,0.12,0.16699999999999998,0.299,0.352,2000
4,ANA,0.095,0.161,0.303,0.356,2000
5,CHW,0.092,0.15,0.309,0.357,2000
6,HOU,0.10400000000000001,0.175,0.305,0.361,2000
7,STL,0.106,0.19699999999999998,0.308,0.353,2000
8,NYY,0.1,0.16,0.304,0.35,2000
9,TOR,0.083,0.162,0.297,0.35,2000
10,DET,0.08900000000000001,0.155,0.303,0.341,2000
11,LAD,0.106,0.172,0.283,0.337,2000
12,NYM,0.107,0.16399999999999998,0.29,0.339,2000
13,BAL,0.08900000000000001,0.14400000000000002,0.293,0.338,2000
14,TEX,0.091,0.145,0.31,0.347,2000
15,ATL,0.095,0.161,0.302,0.339,2000
16,CIN,0.08800000000000001,0.156,0.299,0.341,2000
17,BOS,0.096,0.16,0.297,0.334,2000
18,SDP,0.096,0.187,0.294,0.321,2000
19,PIT,0.08900000000000001,0.162,0.299,0.333,2000
20,KCR,0.08,0.131,0.312,0.338,2000
21,FLA,0.087,0.191,0.304,0.324,2000
22,CHC,0.099,0.175,0.288,0.327,2000
23,ARI,0.086,0.156,0.29,0.332,2000
24,MON,0.077,0.17,0.299,0.327,2000
25,MIN,0.08800000000000001,0.163,0.309,0.327,2000
26,TBD,0.09,0.165,0.287,0.321,2000
27,PHI,0.09699999999999999,0.17800000000000002,0.29,0.32,2000
28,COL,0.09300000000000001,0.141,0.322,0.353,2000
29,MIL,0.098,0.196,0.284,0.319,2000
30,SEA,0.095,0.153,0.32,0.347,2001
31,CLE,0.091,0.16899999999999998,0.308,0.347,2001
32,TEX,0.086,0.171,0.3,0.349,2001
33,SFG,0.098,0.17,0.29,0.341,2001
34,OAK,0.1,0.16,0.288,0.338,2001
35,CHW,0.085,0.162,0.29,0.337,2001
36,NYY,0.083,0.166,0.293,0.332,2001
37,STL,0.086,0.17600000000000002,0.302,0.335,2001
38,HOU,0.092,0.177,0.304,0.343,2001
39,BOS,0.083,0.18100000000000002,0.3,0.332,2001
40,MIN,0.08,0.175,0.31,0.332,2001
41,CHC,0.09300000000000001,0.17300000000000001,0.29,0.329,2001
42,SDP,0.10800000000000001,0.203,0.297,0.321,2001
43,LAD,0.084,0.172,0.279,0.322,2001
44,ARI,0.092,0.166,0.294,0.336,2001
45,FLA,0.076,0.185,0.303,0.323,2001
46,COL,0.08,0.161,0.322,0.357,2001
47,DET,0.076,0.158,0.291,0.316,2001
48,TOR,0.075,0.174,0.293,0.324,2001
49,ANA,0.079,0.161,0.29,0.318,2001
50,PHI,0.08900000000000001,0.18100000000000002,0.297,0.321,2001
51,MIL,0.079,0.228,0.299,0.32,2001
52,ATL,0.08,0.16899999999999998,0.29,0.317,2001
53,CIN,0.075,0.188,0.301,0.321,2001
54,BAL,0.084,0.161,0.278,0.306,2001
55,NYM,0.08900000000000001,0.17300000000000001,0.283,0.309,2001
56,TBD,0.075,0.183,0.303,0.309,2001
57,KCR,0.066,0.145,0.291,0.314,2001
58,PIT,0.077,0.184,0.281,0.306,2001
59,MON,0.079,0.17800000000000002,0.291,0.309,2001
60,NYY,0.1,0.184,0.31,0.352,2002
61,SEA,0.099,0.158,0.307,0.335,2002
62,SFG,0.098,0.153,0.289,0.338,2002
63,BOS,0.086,0.149,0.302,0.343,2002
64,OAK,0.09699999999999999,0.16,0.284,0.337,2002
65,CHW,0.08900000000000001,0.153,0.287,0.342,2002
66,ANA,0.073,0.127,0.303,0.336,2002
67,TEX,0.087,0.16699999999999998,0.292,0.343,2002
68,MIN,0.076,0.17600000000000002,0.309,0.334,2002
69,STL,0.087,0.14800000000000002,0.292,0.331,2002
70,PHI,0.10099999999999999,0.17300000000000001,0.294,0.331,2002
71,FLA,0.095,0.18,0.301,0.323,2002
72,ARI,0.102,0.161,0.298,0.335,2002
73,TOR,0.084,0.183,0.295,0.329,2002
74,LAD,0.07,0.153,0.291,0.317,2002
75,CLE,0.08900000000000001,0.16399999999999998,0.271,0.32,2002
76,HOU,0.094,0.179,0.3,0.329,2002
77,ATL,0.09,0.165,0.29,0.322,2002
78,CHC,0.094,0.203,0.283,0.32,2002
79,MON,0.092,0.177,0.298,0.326,2002
80,NYM,0.079,0.17,0.289,0.314,2002
81,SDP,0.08900000000000001,0.172,0.288,0.309,2002
82,CIN,0.09300000000000001,0.19,0.293,0.322,2002
83,BAL,0.07400000000000001,0.163,0.271,0.311,2002
84,TBD,0.07400000000000001,0.18,0.293,0.309,2002
85,MIL,0.08199999999999999,0.185,0.294,0.312,2002
86,KCR,0.084,0.14800000000000002,0.282,0.316,2002
87,PIT,0.08900000000000001,0.183,0.281,0.308,2002
88,COL,0.081,0.16899999999999998,0.311,0.331,2002
89,DET,0.061,0.175,0.283,0.297,2002
90,NYY,0.099,0.154,0.297,0.35,2005
91,BOS,0.102,0.163,0.31,0.352,2005
92,CLE,0.08,0.175,0.302,0.34,2005
93,TEX,0.079,0.17600000000000002,0.29,0.344,2005
94,CIN,0.09699999999999999,0.20600000000000002,0.302,0.34,2005
95,BAL,0.073,0.147,0.289,0.33,2005
96,TBD,0.067,0.162,0.306,0.327,2005
97,STL,0.085,0.152,0.297,0.331,2005
98,ATL,0.086,0.175,0.298,0.331,2005
99,OAK,0.086,0.131,0.281,0.323,2005
100,DET,0.063,0.16899999999999998,0.304,0.324,2005
101,PHI,0.10099999999999999,0.171,0.306,0.335,2005
102,FLA,0.08199999999999999,0.14800000000000002,0.304,0.326,2005
103,SDP,0.096,0.156,0.289,0.318,2005
104,LAA,0.07200000000000001,0.13699999999999998,0.294,0.319,2005
105,MIL,0.086,0.18899999999999997,0.298,0.327,2005
106,CHW,0.071,0.163,0.286,0.324,2005
107,CHC,0.068,0.149,0.291,0.329,2005
108,TOR,0.078,0.153,0.296,0.323,2005
109,NYM,0.079,0.175,0.29,0.32,2005
110,ARI,0.096,0.17300000000000001,0.285,0.328,2005
111,LAD,0.08800000000000001,0.17800000000000002,0.29,0.317,2005
112,SEA,0.076,0.162,0.289,0.309,2005
113,HOU,0.078,0.16899999999999998,0.288,0.318,2005
114,MIN,0.078,0.158,0.291,0.312,2005
115,PIT,0.076,0.17600000000000002,0.297,0.315,2005
116,WSN,0.08,0.177,0.293,0.309,2005
117,KCR,0.07,0.166,0.298,0.313,2005
118,SFG,0.071,0.14800000000000002,0.29,0.312,2005
119,COL,0.08199999999999999,0.177,0.307,0.325,2005
120,NYY,0.10099999999999999,0.163,0.315,0.356,2006
121,CLE,0.08800000000000001,0.191,0.324,0.347,2006
122,TOR,0.08199999999999999,0.145,0.306,0.349,2006
123,CHW,0.079,0.16699999999999998,0.305,0.346,2006
124,LAD,0.094,0.15,0.307,0.337,2006
125,MIN,0.079,0.14,0.316,0.334,2006
126,ATL,0.084,0.18600000000000003,0.304,0.339,2006
127,PHI,0.096,0.185,0.302,0.341,2006
128,BOS,0.10400000000000001,0.16399999999999998,0.298,0.34,2006
129,NYM,0.087,0.17,0.293,0.334,2006
130,SDP,0.09,0.17600000000000002,0.299,0.325,2006
131,DET,0.069,0.183,0.31,0.334,2006
132,STL,0.085,0.14800000000000002,0.292,0.331,2006
133,OAK,0.10300000000000001,0.155,0.285,0.328,2006
134,TEX,0.081,0.16899999999999998,0.311,0.337,2006
135,WSN,0.095,0.184,0.301,0.327,2006
136,FLA,0.08,0.20199999999999999,0.309,0.329,2006
137,BAL,0.076,0.141,0.302,0.331,2006
138,LAA,0.078,0.147,0.301,0.327,2006
139,SEA,0.065,0.157,0.3,0.322,2006
140,CIN,0.098,0.18899999999999997,0.29,0.332,2006
141,KCR,0.076,0.16699999999999998,0.311,0.323,2006
142,HOU,0.092,0.17,0.286,0.322,2006
143,MIL,0.08199999999999999,0.201,0.3,0.322,2006
144,TBD,0.073,0.183,0.285,0.316,2006
145,SFG,0.081,0.145,0.282,0.32,2006
146,ARI,0.08,0.152,0.294,0.326,2006
147,COL,0.08800000000000001,0.175,0.31,0.333,2006
148,PIT,0.07400000000000001,0.193,0.31,0.315,2006
149,CHC,0.064,0.151,0.294,0.32,2006
150,NYY,0.098,0.152,0.318,0.361,2007
151,BOS,0.107,0.162,0.315,0.352,2007
152,DET,0.07400000000000001,0.166,0.323,0.347,2007
153,PHI,0.098,0.184,0.311,0.351,2007
154,CLE,0.09300000000000001,0.18899999999999997,0.31,0.336,2007
155,TBD,0.087,0.21100000000000002,0.318,0.335,2007
156,SEA,0.063,0.139,0.313,0.333,2007
157,FLA,0.08199999999999999,0.21,0.315,0.34,2007
158,NYM,0.087,0.155,0.303,0.336,2007
159,LAA,0.08199999999999999,0.142,0.315,0.333,2007
160,MIL,0.08,0.182,0.289,0.337,2007
161,OAK,0.10400000000000001,0.17600000000000002,0.29,0.328,2007
162,ATL,0.084,0.18,0.314,0.337,2007
163,COL,0.096,0.177,0.322,0.346,2007
164,SDP,0.08800000000000001,0.19399999999999998,0.291,0.32,2007
165,BAL,0.08,0.15,0.302,0.327,2007
166,TOR,0.086,0.168,0.29,0.326,2007
167,TEX,0.081,0.19699999999999998,0.305,0.329,2007
168,STL,0.081,0.146,0.303,0.326,2007
169,CIN,0.085,0.17600000000000002,0.298,0.335,2007
170,LAD,0.081,0.138,0.303,0.326,2007
171,HOU,0.086,0.165,0.291,0.325,2007
172,MIN,0.083,0.136,0.291,0.317,2007
173,CHC,0.08,0.168,0.308,0.329,2007
174,PIT,0.075,0.183,0.303,0.322,2007
175,WSN,0.085,0.182,0.3,0.315,2007
176,CHW,0.087,0.188,0.278,0.316,2007
177,KCR,0.07,0.174,0.305,0.312,2007
178,ARI,0.087,0.182,0.282,0.32,2007
179,SFG,0.086,0.146,0.281,0.31,2007
180,BOS,0.09,0.17300000000000001,0.314,0.352,2011
181,NYY,0.099,0.18,0.292,0.345,2011
182,STL,0.087,0.157,0.305,0.334,2011
183,TEX,0.076,0.149,0.304,0.347,2011
184,DET,0.084,0.183,0.318,0.337,2011
185,TBR,0.09300000000000001,0.19399999999999998,0.281,0.319,2011
186,MIL,0.079,0.177,0.293,0.327,2011
187,NYM,0.09,0.171,0.307,0.319,2011
188,KCR,0.071,0.161,0.311,0.325,2011
189,CIN,0.085,0.198,0.297,0.322,2011
190,CLE,0.08,0.207,0.297,0.314,2011
191,LAA,0.073,0.17800000000000002,0.288,0.313,2011
192,TOR,0.085,0.191,0.283,0.319,2011
193,ARI,0.087,0.205,0.294,0.322,2011
194,BAL,0.073,0.182,0.288,0.32,2011
195,PHI,0.086,0.163,0.283,0.315,2011
196,LAD,0.08199999999999999,0.17800000000000002,0.299,0.307,2011
197,FLA,0.087,0.2,0.291,0.311,2011
198,CHC,0.069,0.196,0.301,0.314,2011
199,ATL,0.08199999999999999,0.204,0.284,0.306,2011
200,CHW,0.077,0.161,0.28,0.312,2011
201,OAK,0.083,0.179,0.283,0.301,2011
202,WSN,0.077,0.217,0.292,0.305,2011
203,SFG,0.07400000000000001,0.184,0.281,0.295,2011
204,HOU,0.065,0.18899999999999997,0.308,0.301,2011
205,COL,0.08800000000000001,0.191,0.3,0.324,2011
206,PIT,0.081,0.21600000000000003,0.301,0.299,2011
207,SDP,0.08199999999999999,0.217,0.294,0.29,2011
208,MIN,0.073,0.174,0.288,0.296,2011
209,SEA,0.073,0.214,0.283,0.283,2011
210,LAA,0.073,0.182,0.311,0.331,2012
211,NYY,0.091,0.18899999999999997,0.293,0.342,2012
212,STL,0.084,0.188,0.316,0.329,2012
213,TEX,0.077,0.177,0.306,0.336,2012
214,DET,0.084,0.18,0.307,0.328,2012
215,MIL,0.075,0.19899999999999998,0.299,0.329,2012
216,SFG,0.078,0.177,0.315,0.314,2012
217,WSN,0.077,0.213,0.308,0.324,2012
218,TBR,0.094,0.217,0.284,0.311,2012
219,CHW,0.075,0.19699999999999998,0.289,0.322,2012
220,OAK,0.08900000000000001,0.22399999999999998,0.281,0.311,2012
221,SDP,0.08800000000000001,0.203,0.297,0.307,2012
222,CLE,0.09,0.175,0.288,0.31,2012
223,ARI,0.08800000000000001,0.20600000000000002,0.307,0.323,2012
224,BAL,0.078,0.213,0.286,0.317,2012
225,MIN,0.081,0.172,0.298,0.313,2012
226,BOS,0.069,0.19399999999999998,0.301,0.316,2012
227,KCR,0.066,0.168,0.302,0.311,2012
228,NYM,0.083,0.205,0.298,0.306,2012
229,CIN,0.079,0.207,0.296,0.314,2012
230,PHI,0.07400000000000001,0.177,0.29,0.311,2012
231,ATL,0.09300000000000001,0.21,0.296,0.31,2012
232,TOR,0.078,0.205,0.281,0.311,2012
233,PIT,0.07400000000000001,0.225,0.291,0.304,2012
234,LAD,0.079,0.19,0.298,0.302,2012
235,COL,0.073,0.196,0.321,0.331,2012
236,SEA,0.077,0.20800000000000002,0.276,0.291,2012
237,MIA,0.08,0.203,0.289,0.3,2012
238,HOU,0.077,0.22699999999999998,0.288,0.296,2012
239,CHC,0.075,0.207,0.286,0.297,2012
240,DET,0.071,0.184,0.319,0.331,2014
241,LAD,0.083,0.2,0.318,0.327,2014
242,LAA,0.078,0.201,0.305,0.321,2014
243,PIT,0.084,0.2,0.307,0.325,2014
244,TOR,0.081,0.187,0.295,0.325,2014
245,BAL,0.065,0.21,0.296,0.323,2014
246,OAK,0.094,0.177,0.278,0.312,2014
247,MIN,0.087,0.213,0.309,0.316,2014
248,SFG,0.07,0.205,0.304,0.308,2014
249,WSN,0.083,0.21,0.303,0.317,2014
250,CHW,0.069,0.22399999999999998,0.306,0.312,2014
251,CLE,0.081,0.191,0.296,0.313,2014
252,HOU,0.08199999999999999,0.23800000000000002,0.298,0.308,2014
253,COL,0.064,0.20800000000000002,0.326,0.337,2014
254,TBR,0.085,0.18100000000000002,0.287,0.305,2014
255,STL,0.077,0.18600000000000003,0.3,0.308,2014
256,MIA,0.081,0.22899999999999998,0.316,0.307,2014
257,SEA,0.066,0.20600000000000002,0.29,0.299,2014
258,NYY,0.07400000000000001,0.18600000000000003,0.282,0.305,2014
259,MIL,0.07,0.19699999999999998,0.293,0.313,2014
260,KCR,0.063,0.163,0.302,0.306,2014
261,NYM,0.084,0.20600000000000002,0.286,0.299,2014
262,CHC,0.07200000000000001,0.242,0.296,0.303,2014
263,TEX,0.069,0.193,0.305,0.305,2014
264,BOS,0.086,0.215,0.297,0.305,2014
265,PHI,0.071,0.21100000000000002,0.292,0.295,2014
266,ATL,0.078,0.226,0.298,0.296,2014
267,ARI,0.065,0.191,0.293,0.3,2014
268,CIN,0.069,0.209,0.284,0.294,2014
269,SDP,0.079,0.21899999999999997,0.277,0.283,2014
270,OAK,0.08800000000000001,0.221,0.294,0.329,2018
271,NYY,0.1,0.22699999999999998,0.285,0.335,2018
272,LAD,0.102,0.226,0.294,0.333,2018
273,BOS,0.09,0.19899999999999998,0.309,0.34,2018
274,HOU,0.092,0.195,0.289,0.327,2018
275,TBR,0.087,0.22399999999999998,0.317,0.322,2018
276,CLE,0.08800000000000001,0.18899999999999997,0.291,0.33,2018
277,WSN,0.1,0.205,0.297,0.325,2018
278,CHC,0.09,0.218,0.313,0.321,2018
279,MIL,0.086,0.235,0.302,0.322,2018
280,SEA,0.071,0.201,0.295,0.313,2018
281,TOR,0.08199999999999999,0.228,0.286,0.319,2018
282,STL,0.085,0.223,0.294,0.316,2018
283,LAA,0.084,0.213,0.277,0.313,2018
284,ATL,0.08199999999999999,0.20600000000000002,0.302,0.319,2018
285,MIN,0.087,0.21600000000000003,0.298,0.313,2018
286,PIT,0.078,0.203,0.298,0.312,2018
287,CIN,0.09,0.221,0.307,0.317,2018
288,NYM,0.092,0.22699999999999998,0.283,0.305,2018
289,CHW,0.07,0.263,0.304,0.304,2018
290,PHI,0.095,0.248,0.289,0.307,2018
291,TEX,0.09,0.24100000000000002,0.292,0.315,2018
292,ARI,0.091,0.237,0.286,0.306,2018
293,COL,0.08199999999999999,0.226,0.304,0.325,2018
294,KCR,0.07,0.21600000000000003,0.293,0.303,2018
295,BAL,0.07,0.23399999999999999,0.286,0.299,2018
296,SDP,0.078,0.251,0.294,0.294,2018
297,MIA,0.075,0.228,0.293,0.289,2018
298,DET,0.071,0.222,0.293,0.295,2018
299,SFG,0.073,0.24,0.299,0.29,2018
300,LAD,0.09699999999999999,0.22,0.302,0.337,2022
301,TOR,0.081,0.20199999999999999,0.305,0.331,2022
302,NYY,0.1,0.225,0.276,0.327,2022
303,NYM,0.083,0.19699999999999998,0.302,0.326,2022
304,HOU,0.087,0.195,0.278,0.324,2022
305,ATL,0.077,0.24600000000000002,0.303,0.33,2022
306,STL,0.087,0.19899999999999998,0.289,0.326,2022
307,SEA,0.09699999999999999,0.228,0.272,0.31,2022
308,PHI,0.079,0.22399999999999998,0.299,0.322,2022
309,MIN,0.085,0.221,0.295,0.315,2022
310,MIL,0.094,0.239,0.279,0.317,2022
311,BOS,0.078,0.223,0.313,0.319,2022
312,SDP,0.09300000000000001,0.215,0.289,0.308,2022
313,SFG,0.09300000000000001,0.239,0.284,0.311,2022
314,BAL,0.079,0.23,0.284,0.305,2022
315,TBR,0.083,0.23199999999999998,0.295,0.302,2022
316,CLE,0.073,0.182,0.294,0.306,2022
317,CHC,0.083,0.23800000000000002,0.294,0.307,2022
318,CHW,0.063,0.207,0.304,0.306,2022
319,TEX,0.076,0.24,0.287,0.305,2022
320,WSN,0.07400000000000001,0.204,0.295,0.303,2022
321,LAA,0.075,0.257,0.289,0.3,2022
322,ARI,0.08800000000000001,0.222,0.272,0.303,2022
323,KCR,0.077,0.214,0.293,0.302,2022
324,COL,0.07400000000000001,0.218,0.307,0.312,2022
325,CIN,0.076,0.239,0.29,0.299,2022
326,MIA,0.073,0.24,0.284,0.29,2022
327,OAK,0.07400000000000001,0.237,0.264,0.277,2022
328,PIT,0.081,0.253,0.277,0.289,2022
329,DET,0.065,0.24100000000000002,0.29,0.279,2022
330,LAD,0.096,0.214,0.297,0.337,2024
331,NYY,0.10800000000000001,0.212,0.283,0.331,2024
332,BAL,0.079,0.22,0.288,0.324,2024
333,ARI,0.091,0.201,0.302,0.337,2024
334,HOU,0.073,0.193,0.299,0.321,2024
335,SDP,0.075,0.17600000000000002,0.295,0.324,2024
336,NYM,0.083,0.22399999999999998,0.291,0.32,2024
337,PHI,0.084,0.222,0.306,0.325,2024
338,MIN,0.077,0.213,0.289,0.316,2024
339,MIL,0.09699999999999999,0.23600000000000002,0.305,0.319,2024
340,BOS,0.08,0.254,0.314,0.321,2024
341,SEA,0.094,0.268,0.284,0.303,2024
342,TOR,0.084,0.203,0.283,0.307,2024
343,CHC,0.08900000000000001,0.223,0.291,0.311,2024
344,OAK,0.08199999999999999,0.249,0.284,0.303,2024
345,ATL,0.08,0.24,0.291,0.315,2024
346,CLE,0.079,0.20199999999999999,0.271,0.306,2024
347,STL,0.078,0.21600000000000003,0.294,0.307,2024
348,SFG,0.081,0.24,0.29,0.305,2024
349,KCR,0.07200000000000001,0.19399999999999998,0.283,0.307,2024
350,DET,0.079,0.243,0.288,0.299,2024
351,TEX,0.081,0.212,0.279,0.3,2024
352,TBR,0.08199999999999999,0.247,0.289,0.294,2024
353,WSN,0.076,0.204,0.288,0.3,2024
354,LAA,0.081,0.237,0.279,0.296,2024
355,CIN,0.083,0.244,0.283,0.303,2024
356,MIA,0.067,0.233,0.299,0.296,2024
357,PIT,0.08,0.247,0.291,0.295,2024
358,COL,0.075,0.268,0.308,0.306,2024
359,CHW,0.067,0.239,0.272,0.272,2024
